Clinic Name,Website,Website_Status,Website_Link,Crawled_URL,Page_Title,Word_Count,Crawl_Status,Saved_Text_File
StarPro Physical Therapy — E 77th St,starpropt.com,LIVE,https://starpropt.com,https://starpropt.com,StarPro Physical Therapy | Challenging Limits to Transform Lives,1169,OK,C:\Users\COB\Downloads\competitor\scraped_texts\StarPro_Physical_Therapy_E_77th_St.txt
AUC Physical Therapy,aucphysicaltherapy.com,LIVE,https://aucphysicaltherapy.com,https://aucphysicaltherapy.com,"#1 Physical Therapy in Jamaica, Queens | AUC Physical Therapy",3617,OK,C:\Users\COB\Downloads\competitor\scraped_texts\AUC_Physical_Therapy.txt
JAG PT — Avenue T,jagpt.com,LIVE,https://jagpt.com,https://jagpt.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\JAG_PT_Avenue_T.txt
Big City Physical Therapy,bigcitypt.com,LIVE,https://bigcitypt.com,https://bigcitypt.com,Home | Big City Physical Therapy,2973,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Big_City_Physical_Therapy.txt
Quantum PT — Jamaica,quantumchiropt.com,LIVE,https://quantumchiropt.com,https://quantumchiropt.com,New York Physical Therapy and Chiropractor | Quantum Medical,1433,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Quantum_PT_Jamaica.txt
Theradynamics PT (Hone Ave),theradynamics.com,LIVE,https://theradynamics.com,https://theradynamics.com,Get Back To Life! with Theradynamics Physical & Occupational Therapy,372,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Theradynamics_PT_Hone_Ave.txt
PT of The City — Hollis,ptofthecity.com,LIVE,https://ptofthecity.com,https://ptofthecity.com,Top-Rated Physical Therapy NYC | 30+ Clinics | PT of the City,2946,OK,C:\Users\COB\Downloads\competitor\scraped_texts\PT_of_The_City_Hollis.txt
Physico-connect Physical Therapy,,NO WEBSITE,,,,0,SKIPPED_NO_URL,C:\Users\COB\Downloads\competitor\scraped_texts\Physico-connect_Physical_Therapy.txt
Home Physical Therapy Solutions,homeptsolutions.com,LIVE,https://homeptsolutions.com,https://homeptsolutions.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\Home_Physical_Therapy_Solutions.txt
Professional Physical Therapy,professionalpt.com,LIVE,https://professionalpt.com,https://professionalpt.com,Professional Physical Therapy | Challenging Limits to Transform Lives,3603,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Professional_Physical_Therapy.txt
